model,dataset,n_categories,sem_worst_calib_gap,null_worst_calib_gap_mean,null_worst_calib_gap_p95,pctile_worst_calib_gap,sem_worst_SEA,null_worst_SEA_mean,null_worst_SEA_p05,pctile_worst_SEA_low,sem_between_SEA_var,null_between_SEA_var_mean,pctile_between_var,sem_PM_CPVC_VUS,null_PM_CPVC_VUS_mean,null_PM_CPVC_VUS_p05,null_PM_CPVC_VUS_p95
Open-Reasoner-Zero-7B,TruthfulQA,10,0.4875000000000001,0.49720833333333336,0.5896874999999999,47.199999999999996,0.4166666666666667,0.38941666666666663,0.2916666666666667,15.9,0.010225694444444444,0.00938923611111111,61.4,0.06196916166646951,0.03252912552145632,0.0,0.1734628912762393
OpenThinker2-7B,CSQA,10,0.5366666666666666,0.5325854166666667,0.6254583333333332,57.599999999999994,0.3958333333333333,0.3945625,0.3125,44.2,0.007881944444444443,0.008708072916666667,48.699999999999996,0.0,0.012993583173382036,0.0,0.08082956052686838
OpenThinker2-7B,Math360,8,0.3799999999999999,0.3995600000000001,0.46360000000000007,31.6,0.5888888888888889,0.548211111111111,0.4888888888888889,6.9,0.0030227623456790123,0.004227824074074075,33.300000000000004,0.005148221343873523,0.02433734318822836,0.0,0.10926287865575285
OpenThinker2-7B,TruthfulQA,10,0.5808333333333332,0.5551458333333332,0.6500000000000001,76.7,0.375,0.38716666666666666,0.2916666666666667,49.0,0.004726562500000001,0.009499479166666666,12.4,0.0,0.013661207736819319,0.0,0.08768265016360477
Qwen2.5-32B-Instruct,CSQA,10,0.4499999999999999,0.428515,0.5208333333333334,71.2,0.4583333333333333,0.4665,0.375,44.1,0.009184027777777777,0.009047569444444445,55.00000000000001,0.11780478896214137,0.174508641292185,0.001000000000000002,0.5348720064281156
Qwen2.5-32B-Instruct,Math360,8,0.32177777777777805,0.3813528888888892,0.4529000000000002,2.1,0.5777777777777777,0.5319777777777778,0.4666666666666667,2.5,0.001597222222222223,0.0046303086419753085,7.5,0.0,0.04092623251178571,0.0,0.1654758470705299
Qwen2.5-32B-Instruct,TruthfulQA,10,0.27708333333333324,0.3444625,0.4396458333333331,6.3,0.5833333333333334,0.5170416666666667,0.4166666666666667,0.8,0.005555555555555552,0.008397222222222223,22.8,0.4755773778500315,0.574529490907949,0.1891567152402345,1.089749966567307
Qwen2.5-7B,CSQA,10,0.4270833333333333,0.46108125,0.5605208333333331,26.5,0.4583333333333333,0.41375,0.3125,11.200000000000001,0.009479166666666667,0.00905625,58.599999999999994,0.17788120021944226,0.0688030007570169,0.0,0.3105682483964629
Qwen2.5-7B,Math360,8,0.3666666666666668,0.4223744444444445,0.4890000000000001,3.3000000000000003,0.5555555555555556,0.4941333333333333,0.4222222222222222,0.2,0.0028935185185185192,0.004616234567901236,26.3,0.0,0.008290907980092266,0.0,0.04113237276326523
Qwen2.5-7B,TruthfulQA,10,0.4437499999999999,0.4749708333333333,0.5583333333333333,28.299999999999997,0.4583333333333333,0.40825,0.3333333333333333,6.1,0.006636284722222226,0.009152083333333333,30.3,0.009269005847953201,0.05201532694374283,0.0,0.22530714534949603
Qwen2.5-7B-Instruct,CSQA,10,0.49166666666666653,0.4474479166666666,0.5419791666666663,83.2,0.4166666666666667,0.449125,0.3729166666666668,64.3,0.010850694444444444,0.008871180555555556,71.6,0.03202207726166537,0.10495976110723108,0.0,0.3794535107593783
Qwen2.5-7B-Instruct,Math360,8,0.46222222222222253,0.44108000000000025,0.5111111111111113,75.2,0.4444444444444444,0.4768444444444445,0.4,74.6,0.006597222222222225,0.004630185185185185,81.10000000000001,0.0,0.003701749334711686,0.0,0.01822059100319972
Qwen2.5-7B-Instruct,TruthfulQA,10,0.4416666666666667,0.40080625,0.4854583333333332,79.10000000000001,0.4166666666666667,0.45929166666666665,0.375,71.2,0.011128472222222224,0.008749305555555555,75.3,0.4708884807246328,0.20595734264167032,0.010556587547299604,0.5919365510471333
Qwen2.5-Math-7B-Instruct,CSQA,10,0.49583333333333324,0.48282500000000006,0.5729166666666666,62.7,0.375,0.3683125,0.2708333333333333,40.2,0.008836805555555556,0.008427430555555554,61.3,0.006936274509803908,0.01925301457710642,0.0,0.11948072636203762
Qwen2.5-Math-7B-Instruct,Math360,8,0.35444444444444445,0.3903479155555556,0.4600555555555555,14.799999999999999,0.4666666666666667,0.4455777777777779,0.3888888888888889,22.0,0.0029012345679012338,0.0037739814814814815,37.2,0.0,0.00299196963062214,0.0,0.01180718954248364
Qwen2.5-Math-7B-Instruct,TruthfulQA,10,0.5791666666666666,0.54565,0.6270833333333333,75.5,0.2708333333333333,0.31422916666666667,0.22916666666666666,77.2,0.012395833333333333,0.008474131944444444,85.5,0.0,0.002390084774946216,0.0,0.006216374269005835
s1.1-7B,CSQA,10,0.49999999999999994,0.4209145833333333,0.5104166666666667,91.7,0.4166666666666667,0.49824999999999997,0.4166666666666667,88.8,0.009552951388888887,0.008597048611111113,64.4,0.1348817511304079,0.21360817733781307,0.018076962168266535,0.592096608046176
s1.1-7B,Math360,8,0.417777777777778,0.4354102222222225,0.5045222222222224,35.9,0.5111111111111111,0.4875333333333333,0.4222222222222222,17.5,0.0051523919753086464,0.004676898148148149,63.1,0.0,0.006053910667553951,0.0,0.03202207726166537
s1.1-7B,TruthfulQA,10,0.4020833333333333,0.4111279166666667,0.5020833333333332,47.199999999999996,0.4583333333333333,0.467,0.375,44.2,0.008836805555555553,0.008912152777777778,52.900000000000006,0.2229142514593901,0.20664469565272475,0.006105263157894732,0.6039943732109726
