scope,model,N,ECE,equal_mass_ECE,Brier,macro_ECE,weighted_ECE,worst_cat_ECE,macro_Brier,worst_cat_Brier,worst_cat_calib_gap,worst_cat_SEA,between_group_SEA_var,PVC_VUS,CPVC_VUS,PM_CPVC_VUS
TruthfulQA,OpenThinker2-7B,240,0.40279166666666655,0.3944583333333333,0.4129170833333333,0.41779166666666656,0.41779166666666656,0.5808333333333332,0.4129170833333333,0.57505,0.5808333333333332,0.375,0.004726562500000001,5.45999999999999,3.355799999999997,0.0
TruthfulQA,Qwen2.5-32B-Instruct,240,0.1952499999999998,0.195,0.26023166666666664,0.20391666666666666,0.2039166666666667,0.28583333333333344,0.26023166666666664,0.31821666666666665,0.27708333333333324,0.5833333333333334,0.005555555555555552,6.669999999999988,5.435549999999994,0.4755773778500315
TruthfulQA,Qwen2.5-7B,240,0.31979166666666675,0.3177083333333333,0.34771874999999997,0.3197916666666666,0.31979166666666664,0.44375000000000014,0.34771874999999997,0.4415625,0.4437499999999999,0.4583333333333333,0.006636284722222226,5.6599999999999895,3.9300499999999943,0.009269005847953201
TruthfulQA,Qwen2.5-7B-Instruct,240,0.24704166666666633,0.24704166666666666,0.29735541666666665,0.25412500000000005,0.2541250000000001,0.44166666666666676,0.29735541666666665,0.4414583333333333,0.4416666666666667,0.4166666666666667,0.011128472222222224,6.129999999999989,4.726249999999995,0.4708884807246328
TruthfulQA,Qwen2.5-Math-7B-Instruct,240,0.39416666666666667,0.3920833333333334,0.39964583333333337,0.4108333333333333,0.41083333333333333,0.5791666666666666,0.39964583333333337,0.5528125,0.5791666666666666,0.2708333333333333,0.012395833333333333,4.629999999999994,2.9520999999999975,0.0
TruthfulQA,s1.1-7B,240,0.25579166666666664,0.25579166666666664,0.30270125,0.2649583333333333,0.2649583333333333,0.44375000000000003,0.30270125000000003,0.4098958333333333,0.4020833333333333,0.4583333333333333,0.008836805555555553,6.219999999999989,4.713549999999994,0.2229142514593901
CSQA,Bespoke-Stratos-7B,240,0.3402916666666667,0.3377916666666666,0.35191958333333334,0.34029166666666655,0.34029166666666655,0.4333333333333332,0.3519195833333333,0.42645833333333333,0.43333333333333324,0.5,0.003628472222222223,5.88999999999999,3.937299999999995,0.0
CSQA,Claude 3.5 Haiku,240,0.5095833333333333,0.5095833333333333,0.5079408333333334,0.5137499999999998,0.5137499999999999,0.6516666666666666,0.5079408333333333,0.6301166666666667,0.6516666666666666,0.2916666666666667,0.007013888888888889,4.339999999999993,2.2015999999999987,0.0
CSQA,DeepSeek-R1-Distill-Qwen-7B,240,0.3322916666666668,0.3297916666666666,0.34769791666666666,0.3385416666666666,0.3385416666666666,0.5083333333333333,0.3476979166666667,0.48937499999999995,0.49791666666666673,0.3541666666666667,0.01442708333333333,5.509999999999993,3.8303499999999966,0.133973651349669
CSQA,JiuZhang3.0-7B,240,0.15500000000000003,0.15333333333333332,0.15864583333333335,0.16083333333333333,0.16083333333333336,0.24999999999999997,0.15864583333333335,0.25,0.24999999999999994,0.4583333333333333,0.0030555555555555557,5.339999999999991,4.571449999999994,0.007888888888888893
CSQA,Llama-3.1-8B-Instruct,240,0.40750000000000003,0.40750000000000003,0.4209791666666666,0.40750000000000003,0.4075,0.5458333333333333,0.4209791666666668,0.5195833333333334,0.5458333333333334,0.3333333333333333,0.0023611111111111116,4.679999999999991,2.802299999999997,0.0
CSQA,Ministral-8B-Instruct-2410,240,0.34125000000000005,0.3391666666666666,0.361375,0.3562499999999999,0.35624999999999996,0.4416666666666666,0.361375,0.42874999999999996,0.41666666666666663,0.5,0.0015451388888888897,5.809999999999989,3.854249999999995,0.0
CSQA,Open-Reasoner-Zero-7B,240,0.33229166666666665,0.3272916666666666,0.3555729166666666,0.33854166666666663,0.3385416666666666,0.5145833333333332,0.3555729166666667,0.4994791666666667,0.4895833333333333,0.4166666666666667,0.0067534722222222215,5.87999999999999,4.024099999999995,0.0
CSQA,OpenThinker2-7B,240,0.3782916666666665,0.37829166666666664,0.3829195833333333,0.3837083333333332,0.38370833333333326,0.5366666666666666,0.3829195833333333,0.5249499999999999,0.5366666666666666,0.3958333333333333,0.007881944444444443,5.459999999999992,3.465999999999997,0.0
CSQA,Qwen2.5-32B-Instruct,240,0.2715416666666664,0.27154166666666657,0.3138670833333333,0.27837499999999993,0.27837499999999993,0.44999999999999996,0.3138670833333333,0.45999999999999996,0.4499999999999999,0.4583333333333333,0.009184027777777777,6.20999999999999,4.623499999999996,0.11780478896214137
CSQA,Qwen2.5-7B,240,0.3102083333333333,0.3027083333333334,0.33719791666666665,0.3152083333333333,0.31520833333333337,0.4270833333333333,0.33719791666666665,0.4205208333333333,0.4270833333333333,0.4583333333333333,0.009479166666666667,5.72999999999999,4.091949999999995,0.17788120021944226
CSQA,Qwen2.5-7B-Instruct,240,0.29020833333333296,0.29020833333333335,0.3271354166666666,0.29270833333333324,0.2927083333333333,0.4916666666666666,0.3271354166666666,0.49333333333333335,0.49166666666666653,0.4166666666666667,0.010850694444444444,6.039999999999992,4.397349999999996,0.03202207726166537
CSQA,Qwen2.5-Math-7B-Instruct,240,0.32916666666666666,0.3291666666666667,0.350125,0.34249999999999997,0.3425,0.49583333333333335,0.35012499999999996,0.4960416666666667,0.49583333333333324,0.375,0.008836805555555556,5.159999999999991,3.5560999999999954,0.006936274509803908
CSQA,s1.1-7B,240,0.26712500000000006,0.26712499999999995,0.29670124999999997,0.27295833333333325,0.27295833333333325,0.5,0.29670125,0.488125,0.49999999999999994,0.4166666666666667,0.009552951388888887,6.519999999999989,4.880449999999994,0.1348817511304079
Math500,Bespoke-Stratos-7B,500,0.36513999999999985,0.36234000000000016,0.3840182,0.34872778801294446,0.37754000000000004,0.4615853658536587,0.35637298127067163,0.46557926829268304,0.46158536585365845,0.4634146341463415,0.010200419196983291,4.185000000000006,2.8839250000000036,0.10577030620352067
Math500,Claude 3.5 Haiku,500,0.38369999999999976,0.3777000000000002,0.392169,0.3812048592101651,0.3859000000000001,0.49158536585365875,0.3876099431322199,0.4884182926829269,0.4879268292682927,0.4634146341463415,0.0031126206598847484,3.945000000000006,2.515475000000003,0.0
Math500,DeepSeek-R1-Distill-Qwen-7B,500,0.3567399999999998,0.35674000000000017,0.3660618,0.3688379230935629,0.35673999999999995,0.41875000000000007,0.37623494653361245,0.43031249999999993,0.41874999999999996,0.5178571428571429,0.0025893625667728314,3.9450000000000074,2.5163250000000037,0.0
Math500,JiuZhang3.0-7B,500,0.1640000000000001,0.16499999999999998,0.1787,0.17489405151918322,0.16800000000000004,0.2426829268292683,0.18563439900264328,0.23426829268292684,0.2426829268292683,0.4868421052631579,0.001548389251511781,3.7350000000000065,3.1089750000000054,0.0
Math500,Llama-3.1-8B-Instruct,500,0.3321,0.3285000000000001,0.357155,0.3342417376013042,0.3337000000000001,0.41804123711340246,0.3563400507199425,0.4254381443298969,0.4036082474226806,0.4845360824742268,0.0027295320984567386,3.965000000000006,2.6671250000000035,0.0
Math500,Ministral-8B-Instruct-2410,500,0.38849999999999985,0.38750000000000007,0.400535,0.3821081331651662,0.39090000000000014,0.46890243902439027,0.3915078735881591,0.47082317073170726,0.4615853658536586,0.4838709677419355,0.005173114468367618,3.965000000000006,2.5031250000000025,0.0
Math500,Open-Reasoner-Zero-7B,500,0.34649999999999986,0.34330000000000016,0.361875,0.33468639782000037,0.3545000000000001,0.4402061855670103,0.3430974028723352,0.4418556701030928,0.40824742268041236,0.5154639175257731,0.0036438282693706477,4.385000000000007,2.989225000000004,0.0
Math500,OpenThinker2-7B,500,0.29684000000000016,0.2968400000000001,0.30309119999999995,0.2975761388199221,0.3000400000000001,0.3687500000000002,0.30173623744771494,0.37102678571428566,0.36875000000000013,0.5625,0.0015806519796588722,4.3550000000000075,3.0942750000000054,0.0
Math500,Qwen2.5-32B-Instruct,500,0.29960000000000003,0.2944000000000001,0.32814439999999995,0.3147033321218293,0.30888000000000004,0.37243902439024384,0.33144522314637603,0.3827829268292683,0.36024390243902427,0.5609756097560976,0.0010454131942914619,4.325000000000007,3.038275000000005,0.0
Math500,Qwen2.5-7B,500,0.3476999999999999,0.34370000000000006,0.364255,0.3622487969331504,0.35070000000000007,0.43289473684210505,0.3742040659025877,0.4426973684210528,0.4328947368421054,0.47368421052631576,0.003525189098065646,3.925000000000007,2.5564250000000035,0.0
Math500,Qwen2.5-7B-Instruct,500,0.35900000000000004,0.3538000000000001,0.37322000000000005,0.37013041702001964,0.36540000000000006,0.44999999999999996,0.3777547017893906,0.44932926829268294,0.43780487804878054,0.4878048780487805,0.0014915775148644725,3.935000000000007,2.5431250000000034,0.0
Math500,Qwen2.5-Math-7B-Instruct,500,0.29359999999999997,0.29359999999999997,0.30271000000000003,0.31025090215475054,0.3002,0.34756097560975596,0.31022692486154646,0.3380487804878049,0.3378048780487807,0.5,0.0005811472425592416,3.675000000000007,2.568425000000004,0.0
Math500,s1.1-7B,500,0.3283399999999998,0.3233400000000001,0.3485842,0.3277660773225542,0.33314000000000005,0.41516129032258065,0.34413573729970154,0.42047903225806454,0.4111290322580644,0.5241935483870968,0.003973605691658892,4.255000000000007,2.9323750000000044,0.0
