scope,model,N,SEA,AURC,E_AURC,sel_acc@cov0.2,sel_acc@cov0.5,sel_acc@cov0.8,cov@thr0.8,acc@thr0.8,hc_err@thr0.8,cov@thr0.9,acc@thr0.9,hc_err@thr0.9,cov@thr0.95,acc@thr0.95,hc_err@thr0.95,util@thr0.9_lam1,util@thr0.9_lam2,worst_cat_sel_acc@cov0.5
Math360,Qwen2.5-Math-7B-Instruct,360,0.5388888888888889,0.4789337189933942,0.34165698036681613,0.5138888888888888,0.5055555555555555,0.5503472222222222,0.7805555555555556,0.5480427046263345,0.45195729537366547,0.5833333333333334,0.5285714285714286,0.4714285714285714,0.3388888888888889,0.48360655737704916,0.5163934426229508,0.03333333333333333,-0.24166666666666667,0.36363636363636365
Math360,s1.1-7B,360,0.5930555555555556,0.37205148085496303,0.27495818779743686,0.6388888888888888,0.6166666666666667,0.6215277777777778,0.9805555555555555,0.5977337110481586,0.40226628895184136,0.8138888888888889,0.621160409556314,0.378839590443686,0.7222222222222222,0.6307692307692307,0.36923076923076925,0.19722222222222222,-0.1111111111111111,0.5454545454545454
TruthfulQA,Bespoke-Stratos-7B,240,0.5666666666666667,0.4370073873458452,0.32553340858449253,0.625,0.5666666666666667,0.5520833333333334,0.9541666666666667,0.5633187772925764,0.4366812227074236,0.42083333333333334,0.5643564356435643,0.4356435643564357,0.35,0.5833333333333334,0.41666666666666663,0.05416666666666667,-0.12916666666666668,0.3333333333333333
TruthfulQA,Claude 3.5 Haiku,240,0.5125,0.5145037629958734,0.3695888105436844,0.4791666666666667,0.43333333333333335,0.4895833333333333,1.0,0.5125,0.48750000000000004,0.9041666666666667,0.5069124423963134,0.4930875576036866,0.625,0.4666666666666667,0.5333333333333333,0.0125,-0.43333333333333335,0.25
TruthfulQA,DeepSeek-R1-Distill-Qwen-7B,240,0.5,0.5090772643683932,0.35537519874589685,0.5,0.49166666666666664,0.4895833333333333,0.8625,0.5024154589371981,0.4975845410628019,0.35833333333333334,0.5,0.5,0.2625,0.4444444444444444,0.5555555555555556,0.0,-0.17916666666666667,0.16666666666666666
TruthfulQA,JiuZhang3.0-7B,240,0.45416666666666666,0.5638197406939784,0.33837936998616147,0.375,0.4666666666666667,0.4479166666666667,0.5708333333333333,0.44525547445255476,0.5547445255474452,0.5458333333333333,0.4580152671755725,0.5419847328244275,0.42916666666666664,0.4174757281553398,0.5825242718446602,-0.04583333333333333,-0.3416666666666667,0.16666666666666666
TruthfulQA,Llama-3.1-8B-Instruct,240,0.4125,0.6247982628443762,0.40257779101466157,0.3125,0.325,0.390625,0.9833333333333333,0.4067796610169492,0.5932203389830508,0.6333333333333333,0.375,0.625,0.15416666666666667,0.2972972972972973,0.7027027027027026,-0.15833333333333333,-0.5541666666666667,0.08333333333333333
TruthfulQA,Ministral-8B-Instruct-2410,240,0.4583333333333333,0.5641454170537792,0.38005391604006206,0.4375,0.425,0.4375,0.9833333333333333,0.4576271186440678,0.5423728813559322,0.8041666666666667,0.44041450777202074,0.5595854922279793,0.425,0.4117647058823529,0.5882352941176471,-0.09583333333333334,-0.5458333333333333,0.16666666666666666
TruthfulQA,Open-Reasoner-Zero-7B,240,0.5458333333333333,0.42392369924494994,0.30022910016963683,0.5416666666666666,0.5583333333333333,0.578125,0.975,0.5512820512820513,0.4487179487179487,0.5833333333333334,0.5642857142857143,0.4357142857142857,0.21666666666666667,0.5384615384615384,0.46153846153846156,0.075,-0.17916666666666667,0.4166666666666667
TruthfulQA,OpenThinker2-7B,240,0.54375,0.48545645330370296,0.3604925588050132,0.5833333333333334,0.5416666666666666,0.53125,0.9708333333333333,0.5364806866952789,0.46351931330472107,0.8583333333333333,0.529126213592233,0.470873786407767,0.8375,0.5323383084577115,0.46766169154228854,0.05,-0.3541666666666667,0.4166666666666667
